"ID","OPPORTUNITY NAME","EXPLORER","OPPORTUNITY RECORD TYPE","CLOSE DATE","STAGE","PROBABILITY (%)","QUANTITY","SALES PRICE","PRODUCT CODE","STATUS"
"0062w000007otAIAAY","Susan Johanson - Milford Track - 2026","Susan Johanson","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAJAAY","Nicole Grace - Milford Track - 2026","Nicole Grace","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAKAAY","Benjamin Young - Milford Track - 2026","Benjamin Young","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otALAAY","Robert Janzen - Milford Track - 2026","Robert Janzen","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAMAAY","Chip Colli - Milford Track - 2026","Chip Colli","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otANAAY","Niki Sullivan - Milford Track - 2026","Niki Sullivan","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAOAAY","Jon Allegri - Milford Track - 2026","Jon Allegri","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAPAAY","Kari Rende - Milford Track - 2026","Kari Rende","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAQAAY","Mike Malmin - Milford Track - 2026","Mike Malmin","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otARAAY","Troy Bullock - Milford Track - 2026","Troy Bullock","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otASAAY","Hamid Basirat - Milford Track - 2026","Hamid Basirat","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otATAAY","Bree Reitz - Milford Track - 2026","Bree Reitz","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAUAAY","Hollie Everhart - Milford Track - 2026","Hollie Everhart","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAVAAY","Marci Viviano - Milford Track - 2026","Marci Viviano","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAWAAY","Lloyd Archibald - Milford Track - 2026","Lloyd Archibald","Individual Opportunity","01/01/2026","New","10","1","2500","MTT","Item Created"
"0062w000007otAXAAY","Bob Hodges - Machu Picchu - 2026","Bob Hodges","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAYAAY","Karen Wells - Machu Picchu - 2026","Karen Wells","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAZAAY","Mike Welch - Machu Picchu - 2026","Mike Welch","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAaAAI","Wes Hardin - Machu Picchu - 2026","Wes Hardin","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAbAAI","May Chan - Machu Picchu - 2026","May Chan","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAcAAI","Sarah Phillips - Machu Picchu - 2026","Sarah Phillips","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAdAAI","Marc Benioff - Machu Picchu - 2026","Marc Benioff","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAeAAI","Emilee Kendra - Machu Picchu - 2026","Emilee Kendra","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAfAAI","Brad Anastasio - Machu Picchu - 2026","Brad Anastasio","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAgAAI","Chris Post - Machu Picchu - 2026","Chris Post","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAhAAI","Wes Chopra - Machu Picchu - 2026","Wes Chopra","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAiAAI","Greg Walker - Machu Picchu - 2026","Greg Walker","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
"0062w000007otAjAAI","Mary McDaniel - Machu Picchu - 2026","Mary McDaniel","Individual Opportunity","01/03/2026","New","10","1","2500","MPT","Item Created"
