"ID","OPPORTUNITY NAME","EXPLORER","OPPORTUNITY RECORD TYPE","CLOSE DATE","STAGE","PROBABILITY (%)","QUANTITY","SALES PRICE","PRODUCT CODE","OPPORTUNITY ID","EXPLORER ID","PRICEBOOK ENTRY ID","PRODUCT ID","STATUS"
"00k2w00000nrKlJAAU","Susan Johanson - Milford Track - 2026","Susan Johanson","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAIAAY","0032w00000JgKh9AAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlKAAU","Nicole Grace - Milford Track - 2026","Nicole Grace","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAJAAY","0032w00000JgKfpAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlLAAU","Benjamin Young - Milford Track - 2026","Benjamin Young","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAKAAY","0032w00000JgKfqAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlMAAU","Robert Janzen - Milford Track - 2026","Robert Janzen","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otALAAY","0032w00000JgKfsAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlNAAU","Chip Colli - Milford Track - 2026","Chip Colli","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAMAAY","0032w00000JgKftAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlOAAU","Niki Sullivan - Milford Track - 2026","Niki Sullivan","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otANAAY","0032w00000JgKfuAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlPAAU","Jon Allegri - Milford Track - 2026","Jon Allegri","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAOAAY","0032w00000JgKfvAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlQAAU","Kari Rende - Milford Track - 2026","Kari Rende","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAPAAY","0032w00000JgKfwAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlRAAU","Mike Malmin - Milford Track - 2026","Mike Malmin","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAQAAY","0032w00000JgKfxAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlSAAU","Troy Bullock - Milford Track - 2026","Troy Bullock","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otARAAY","0032w00000JgKfyAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlTAAU","Hamid Basirat - Milford Track - 2026","Hamid Basirat","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otASAAY","0032w00000JgKfzAAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlUAAU","Bree Reitz - Milford Track - 2026","Bree Reitz","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otATAAY","0032w00000JgKg0AAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlVAAU","Hollie Everhart - Milford Track - 2026","Hollie Everhart","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAUAAY","0032w00000JgKg1AAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlWAAU","Marci Viviano - Milford Track - 2026","Marci Viviano","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAVAAY","0032w00000JgKg2AAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlXAAU","Lloyd Archibald - Milford Track - 2026","Lloyd Archibald","Individual Opportunity","1/1/2026","New","10","1","2500","MTT","0062w000007otAWAAY","0032w00000JgKg3AAF","01u2w000002erOQAAY","01t2w000007KzijAAC","Item Created"
"00k2w00000nrKlYAAU","Bob Hodges - Machu Picchu - 2026","Bob Hodges","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAXAAY","0032w00000JgKhQAAV","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKlZAAU","Karen Wells - Machu Picchu - 2026","Karen Wells","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAYAAY","0032w00000JgKfaAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKlaAAE","Mike Welch - Machu Picchu - 2026","Mike Welch","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAZAAY","0032w00000JgKfbAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKlbAAE","Wes Hardin - Machu Picchu - 2026","Wes Hardin","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAaAAI","0032w00000JgKfcAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKlcAAE","May Chan - Machu Picchu - 2026","May Chan","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAbAAI","0032w00000JgKfdAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKldAAE","Sarah Phillips - Machu Picchu - 2026","Sarah Phillips","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAcAAI","0032w00000JgKfeAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKleAAE","Marc Benioff - Machu Picchu - 2026","Marc Benioff","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAdAAI","0032w00000JgKffAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKlfAAE","Emilee Kendra - Machu Picchu - 2026","Emilee Kendra","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAeAAI","0032w00000JgKfgAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
"00k2w00000nrKlgAAE","Brad Anastasio - Machu Picchu - 2026","Brad Anastasio","Individual Opportunity","3/1/2026","New","10","1","2500","MPT","0062w000007otAfAAI","0032w00000JgKfhAAF","01u2w000002erOVAAY","01t2w000007KziiAAC","Item Created"
